<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20250108,0800,2652.45,2653.70,2649.45,2651.85,2460630
XAUUSD,20250108,0900,2651.74,2654.87,2651.59,2653.34,2284060
XAUUSD,20250108,1000,2653.34,2654.99,2652.60,2653.14,1986510
XAUUSD,20250108,1100,2652.94,2653.10,2647.45,2650.59,4029540
XAUUSD,20250108,1200,2650.61,2652.31,2645.67,2651.85,5136430
XAUUSD,20250108,1300,2651.75,2660.09,2650.01,2660.03,6016100
XAUUSD,20250108,1400,2660.03,2667.53,2659.84,2661.08,6626180
XAUUSD,20250108,1500,2661.08,2667.65,2659.11,2665.70,5003000
XAUUSD,20250108,1600,2665.70,2669.84,2662.41,2669.50,3384690
XAUUSD,20250108,1700,2669.50,2669.65,2649.11,2655.45,4378800
XAUUSD,20250108,1800,2655.42,2659.01,2651.34,2652.55,3319090
XAUUSD,20250108,1900,2652.57,2660.43,2652.18,2658.17,3967310
XAUUSD,20250108,2000,2658.14,2663.88,2658.14,2663.35,2530180
XAUUSD,20250108,2100,2663.24,2663.95,2660.76,2661.11,760990
XAUUSD,20250108,2300,2660.86,2663.10,2660.64,2662.47,478830
XAUUSD,20250109,0000,2662.47,2662.70,2659.30,2659.78,955260
XAUUSD,20250109,0100,2659.78,2661.28,2657.14,2658.46,2706840
XAUUSD,20250109,0200,2658.46,2659.97,2656.16,2658.53,2564100
XAUUSD,20250109,0300,2658.53,2661.95,2658.24,2659.24,1547370
XAUUSD,20250109,0400,2659.24,2659.59,2655.30,2658.84,1504290
XAUUSD,20250109,0500,2658.82,2660.84,2657.53,2658.30,2340930
XAUUSD,20250109,0600,2658.28,2666.78,2658.25,2666.57,3227650
XAUUSD,20250109,0700,2666.59,2666.64,2662.07,2662.22,2387440
XAUUSD,20250109,0800,2662.16,2666.71,2660.27,2664.12,4265990
XAUUSD,20250109,0900,2664.23,2666.44,2662.07,2664.74,3204760
XAUUSD,20250109,1000,2664.74,2668.37,2664.21,2667.29,2489570
XAUUSD,20250109,1100,2667.27,2673.16,2665.06,2669.95,2899120
XAUUSD,20250109,1200,2669.95,2675.05,2669.21,2673.88,2611000
XAUUSD,20250109,1300,2673.82,2678.39,2671.75,2672.51,5102000
XAUUSD,20250109,1400,2672.41,2675.47,2667.00,2672.20,4183740
XAUUSD,20250109,1500,2672.21,2675.18,2667.87,2668.06,4032130
XAUUSD,20250109,1600,2668.06,2670.82,2666.04,2667.45,3078770
XAUUSD,20250109,1700,2667.45,2668.50,2662.55,2665.78,3169820
XAUUSD,20250109,1800,2665.74,2672.32,2664.84,2671.18,3043670
XAUUSD,20250109,1900,2671.18,2671.64,2668.47,2670.03,3225620
XAUUSD,20250109,2000,2669.99,2670.70,2669.09,2669.61,2088330
XAUUSD,20250109,2100,2669.55,2671.28,2668.85,2669.53,326070
XAUUSD,20250109,2300,2670.26,2671.15,2668.32,2669.80,508610
XAUUSD,20250110,0000,2669.86,2671.20,2668.73,2670.39,2099490
XAUUSD,20250110,0100,2670.43,2671.74,2669.07,2670.89,3372970
XAUUSD,20250110,0200,2670.89,2674.57,2670.34,2673.26,2738130
XAUUSD,20250110,0300,2673.26,2674.59,2672.34,2673.57,1510200
XAUUSD,20250110,0400,2673.57,2673.89,2671.63,2671.70,1682880
XAUUSD,20250110,0500,2671.61,2675.78,2671.39,2674.84,2197050
XAUUSD,20250110,0600,2674.84,2678.28,2674.09,2677.97,1551690
XAUUSD,20250110,0700,2678.03,2678.57,2673.28,2676.03,2979930
XAUUSD,20250110,0800,2676.03,2680.36,2675.59,2679.70,3663690
XAUUSD,20250110,0900,2679.76,2682.16,2677.51,2678.24,3910820
XAUUSD,20250110,1000,2678.24,2682.47,2678.05,2680.84,3769540
XAUUSD,20250110,1100,2680.84,2682.94,2680.06,2681.18,2618260
XAUUSD,20250110,1200,2681.03,2681.21,2674.58,2678.08,3886240
XAUUSD,20250110,1300,2678.09,2683.38,2663.20,2682.25,7519350
XAUUSD,20250110,1400,2682.09,2693.18,2680.36,2686.34,9826962
XAUUSD,20250110,1500,2685.16,2697.65,2681.59,2692.43,10998630
XAUUSD,20250110,1600,2692.40,2696.84,2686.45,2695.98,9047340
XAUUSD,20250110,1700,2696.00,2697.71,2692.07,2695.84,5925500
XAUUSD,20250110,1800,2695.84,2696.97,2684.88,2687.15,5190060
XAUUSD,20250110,1900,2687.15,2687.55,2684.35,2685.64,4863330
XAUUSD,20250110,2000,2685.64,2690.76,2683.95,2690.45,2564040
XAUUSD,20250110,2100,2690.49,2693.65,2687.55,2689.76,737270
XAUUSD,20250112,2300,2690.16,2690.87,2687.19,2690.87,1141500
XAUUSD,20250113,0000,2690.82,2693.24,2687.95,2689.39,1033800
XAUUSD,20250113,0100,2689.39,2689.72,2679.14,2685.49,5989830
XAUUSD,20250113,0200,2685.51,2690.36,2684.80,2688.47,3441060
XAUUSD,20250113,0300,2688.47,2688.49,2685.15,2687.86,2909970
XAUUSD,20250113,0400,2687.88,2690.72,2684.16,2685.74,2155950
XAUUSD,20250113,0500,2685.82,2686.82,2683.09,2686.76,1758540
XAUUSD,20250113,0600,2686.82,2691.24,2686.76,2689.73,2602690
XAUUSD,20250113,0700,2689.73,2690.30,2684.24,2684.93,2850990
XAUUSD,20250113,0800,2684.93,2689.46,2683.72,2686.93,4966070
XAUUSD,20250113,0900,2686.93,2688.32,2682.88,2684.56,5001770
XAUUSD,20250113,1000,2684.50,2684.83,2677.13,2679.32,4705490
XAUUSD,20250113,1100,2679.30,2680.51,2675.20,2675.65,2992530
XAUUSD,20250113,1200,2675.60,2676.87,2664.10,2670.90,5127450
XAUUSD,20250113,1300,2670.90,2672.15,2663.63,2669.07,7065040
XAUUSD,20250113,1400,2669.09,2674.14,2663.90,2671.64,4756500
XAUUSD,20250113,1500,2671.58,2672.70,2660.85,2661.48,5546870
XAUUSD,20250113,1600,2661.44,2667.88,2660.50,2661.05,5647570
XAUUSD,20250113,1700,2661.05,2663.90,2659.07,2660.76,4067340
XAUUSD,20250113,1800,2660.76,2662.32,2657.50,2658.86,3807640
XAUUSD,20250113,1900,2659.01,2660.49,2656.61,2658.80,3361780
XAUUSD,20250113,2000,2658.78,2662.80,2658.72,2662.24,3585970
XAUUSD,20250113,2100,2662.18,2664.03,2660.74,2662.47,512820
XAUUSD,20250113,2300,2662.63,2669.22,2662.25,2667.68,669420
XAUUSD,20250114,0000,2667.68,2670.95,2666.06,2670.26,935610
XAUUSD,20250114,0100,2670.24,2672.05,2667.68,2670.57,4041600
XAUUSD,20250114,0200,2670.61,2672.03,2668.38,2670.30,2625690
XAUUSD,20250114,0300,2670.30,2672.11,2668.64,2669.63,2099290
XAUUSD,20250114,0400,2669.59,2673.89,2668.28,2673.41,1596870
XAUUSD,20250114,0500,2673.45,2675.16,2667.16,2668.28,2414940
XAUUSD,20250114,0600,2668.30,2669.45,2667.24,2668.89,2328075
XAUUSD,20250114,0700,2668.93,2670.74,2666.99,2669.01,1661260
XAUUSD,20250114,0800,2669.18,2674.26,2667.16,2670.82,2599280
XAUUSD,20250114,0900,2670.76,2671.41,2664.70,2667.13,3383240
XAUUSD,20250114,1000,2667.11,2668.64,2664.48,2666.49,2164420
XAUUSD,20250114,1100,2666.53,2669.64,2664.44,2669.03,2852590
XAUUSD,20250114,1200,2669.03,2671.49,2666.26,2668.16,3355250
XAUUSD,20250114,1300,2668.16,2674.15,2660.82,2662.71,6543400
XAUUSD,20250114,1400,2662.65,2665.84,2659.64,2664.97,4632810
