UTC,Open,High,Low,Close,Volume
08.07.2024 15:00:00.000 UTC,160.616,160.815,160.592,160.777,23396.55
08.07.2024 16:00:00.000 UTC,160.777,160.792,160.729,160.729,11523.51
08.07.2024 17:00:00.000 UTC,160.729,160.745,160.69,160.719,8442.96
08.07.2024 18:00:00.000 UTC,160.719,160.818,160.713,160.788,12211.95
08.07.2024 19:00:00.000 UTC,160.789,160.797,160.737,160.791,9991.11
08.07.2024 20:00:00.000 UTC,160.793,160.835,160.773,160.796,1606.46
08.07.2024 21:00:00.000 UTC,160.796,160.807,160.756,160.764,404.19
08.07.2024 22:00:00.000 UTC,160.764,160.812,160.764,160.785,1668.5
08.07.2024 23:00:00.000 UTC,160.786,160.872,160.728,160.859,4670.45
09.07.2024 00:00:00.000 UTC,160.859,160.919,160.763,160.892,14825.58
09.07.2024 01:00:00.000 UTC,160.891,161.019,160.853,160.978,8653.51
09.07.2024 02:00:00.000 UTC,160.976,161.131,160.955,161.003,11642.78
09.07.2024 03:00:00.000 UTC,161.003,161.098,160.908,161.05,9373.94
09.07.2024 04:00:00.000 UTC,161.051,161.06,160.903,160.96,11472.84
09.07.2024 05:00:00.000 UTC,160.96,161.002,160.903,160.904,9290.2
09.07.2024 06:00:00.000 UTC,160.903,160.932,160.795,160.825,10098.39
09.07.2024 07:00:00.000 UTC,160.825,160.942,160.739,160.924,12821.89
09.07.2024 08:00:00.000 UTC,160.922,161.077,160.887,161.052,10762.46
09.07.2024 09:00:00.000 UTC,161.052,161.077,160.973,161.045,9077.52
09.07.2024 10:00:00.000 UTC,161.045,161.053,160.958,161.015,11001.07
09.07.2024 11:00:00.000 UTC,161.015,161.178,161.015,161.119,5401.72
09.07.2024 12:00:00.000 UTC,161.118,161.162,161.028,161.128,8085
09.07.2024 13:00:00.000 UTC,161.129,161.147,160.972,161.015,14967.92
09.07.2024 14:00:00.000 UTC,161.016,161.384,160.891,161.361,45503.32
09.07.2024 15:00:00.000 UTC,161.362,161.515,161.306,161.398,16365.47
09.07.2024 16:00:00.000 UTC,161.398,161.405,161.311,161.322,11904.62
09.07.2024 17:00:00.000 UTC,161.319,161.339,161.227,161.316,11532.58
09.07.2024 18:00:00.000 UTC,161.316,161.338,161.265,161.312,6517.11
09.07.2024 19:00:00.000 UTC,161.311,161.311,161.252,161.284,6890.58
09.07.2024 20:00:00.000 UTC,161.287,161.316,161.268,161.27,2146.17
09.07.2024 21:00:00.000 UTC,161.276,161.289,161.244,161.271,802.89
09.07.2024 22:00:00.000 UTC,161.268,161.34,161.254,161.325,1740.26
09.07.2024 23:00:00.000 UTC,161.325,161.365,161.317,161.33,4352.28
10.07.2024 00:00:00.000 UTC,161.329,161.512,161.301,161.466,10003.85
10.07.2024 01:00:00.000 UTC,161.466,161.584,161.451,161.537,4734.99
10.07.2024 02:00:00.000 UTC,161.537,161.591,161.475,161.506,6708.81
10.07.2024 03:00:00.000 UTC,161.505,161.506,161.402,161.43,5055.23
10.07.2024 04:00:00.000 UTC,161.43,161.471,161.407,161.442,5581.55
10.07.2024 05:00:00.000 UTC,161.441,161.561,161.427,161.499,5790.35
10.07.2024 06:00:00.000 UTC,161.499,161.5,161.354,161.366,11576.83
10.07.2024 07:00:00.000 UTC,161.365,161.5,161.339,161.496,18964.81
10.07.2024 08:00:00.000 UTC,161.496,161.536,161.425,161.511,14435.79
10.07.2024 09:00:00.000 UTC,161.513,161.611,161.512,161.584,13850.18
10.07.2024 10:00:00.000 UTC,161.585,161.606,161.504,161.543,13620.7
10.07.2024 11:00:00.000 UTC,161.545,161.548,161.454,161.482,11466.42
10.07.2024 12:00:00.000 UTC,161.482,161.511,161.429,161.449,9793.92
10.07.2024 13:00:00.000 UTC,161.45,161.6,161.426,161.597,13522.21
10.07.2024 14:00:00.000 UTC,161.597,161.685,161.541,161.66,20500.66
10.07.2024 15:00:00.000 UTC,161.661,161.753,161.626,161.737,14809.38
10.07.2024 16:00:00.000 UTC,161.736,161.743,161.655,161.689,8411.37
10.07.2024 17:00:00.000 UTC,161.69,161.765,161.647,161.746,10226.29
10.07.2024 18:00:00.000 UTC,161.745,161.804,161.744,161.775,6072.49
10.07.2024 19:00:00.000 UTC,161.778,161.788,161.731,161.734,6335.61
10.07.2024 20:00:00.000 UTC,161.734,161.749,161.662,161.664,3106.61
10.07.2024 21:00:00.000 UTC,161.664,161.664,161.553,161.564,311.13
10.07.2024 22:00:00.000 UTC,161.565,161.628,161.565,161.594,1787.94
10.07.2024 23:00:00.000 UTC,161.592,161.638,161.555,161.592,1513.78
11.07.2024 00:00:00.000 UTC,161.594,161.614,161.476,161.564,7574.83
11.07.2024 01:00:00.000 UTC,161.564,161.66,161.556,161.583,7233.41
11.07.2024 02:00:00.000 UTC,161.582,161.666,161.534,161.653,4520.38
11.07.2024 03:00:00.000 UTC,161.651,161.682,161.619,161.634,8630.64
11.07.2024 04:00:00.000 UTC,161.637,161.692,161.619,161.685,5578.68
11.07.2024 05:00:00.000 UTC,161.686,161.718,161.665,161.692,6309.95
11.07.2024 06:00:00.000 UTC,161.695,161.75,161.688,161.729,8732.11
11.07.2024 07:00:00.000 UTC,161.732,161.758,161.54,161.633,14163
11.07.2024 08:00:00.000 UTC,161.633,161.633,161.502,161.531,7770.5
11.07.2024 09:00:00.000 UTC,161.531,161.556,161.471,161.548,6383.31
11.07.2024 10:00:00.000 UTC,161.546,161.582,161.506,161.546,7169.55
11.07.2024 11:00:00.000 UTC,161.547,161.589,161.534,161.538,5488.14
11.07.2024 12:00:00.000 UTC,161.538,161.621,158.352,158.638,45971.44
11.07.2024 13:00:00.000 UTC,158.646,158.968,157.409,158.598,60521.8
11.07.2024 14:00:00.000 UTC,158.597,158.792,158.349,158.554,29075.68
11.07.2024 15:00:00.000 UTC,158.554,158.635,158.451,158.582,15273.83
11.07.2024 16:00:00.000 UTC,158.582,158.644,158.532,158.567,10611.42
11.07.2024 17:00:00.000 UTC,158.568,158.893,158.554,158.808,9178.84
11.07.2024 18:00:00.000 UTC,158.806,158.871,158.709,158.735,9881.97
11.07.2024 19:00:00.000 UTC,158.735,158.832,158.729,158.821,10739.69
11.07.2024 20:00:00.000 UTC,158.824,158.913,158.768,158.775,4049.59
11.07.2024 21:00:00.000 UTC,158.808,158.939,158.798,158.932,549.12
11.07.2024 22:00:00.000 UTC,158.939,159.281,158.9,159.26,8071.71
11.07.2024 23:00:00.000 UTC,159.261,159.445,157.747,158.273,27364.15
12.07.2024 00:00:00.000 UTC,158.275,159.132,157.974,159.077,26966.48
12.07.2024 01:00:00.000 UTC,159.075,159.383,159.065,159.359,16266.36
12.07.2024 02:00:00.000 UTC,159.358,159.384,158.749,159.307,12163.45
12.07.2024 03:00:00.000 UTC,159.304,159.333,159.15,159.231,9310.42
12.07.2024 04:00:00.000 UTC,159.23,159.234,159.028,159.109,8438.04
12.07.2024 05:00:00.000 UTC,159.109,159.137,158.866,159.038,9997.64
12.07.2024 06:00:00.000 UTC,159.036,159.214,158.956,159.135,11991.4
12.07.2024 07:00:00.000 UTC,159.135,159.318,159.112,159.217,9612.78
12.07.2024 08:00:00.000 UTC,159.218,159.262,159.03,159.102,9611.8
12.07.2024 09:00:00.000 UTC,159.102,159.217,159.044,159.176,8367.16
12.07.2024 10:00:00.000 UTC,159.176,159.254,159.111,159.111,6039.62
12.07.2024 11:00:00.000 UTC,159.11,159.141,158.934,158.972,7845.12
12.07.2024 12:00:00.000 UTC,158.974,159.155,158.508,158.808,37944.56
12.07.2024 13:00:00.000 UTC,158.807,158.84,157.359,158.299,44883.17
12.07.2024 14:00:00.000 UTC,158.298,158.349,157.387,157.716,40249.7
12.07.2024 15:00:00.000 UTC,157.716,158.092,157.505,157.901,20518.41
12.07.2024 16:00:00.000 UTC,157.902,158.021,157.841,157.873,11927.67
12.07.2024 17:00:00.000 UTC,157.874,158.013,157.861,157.978,5569.51
12.07.2024 18:00:00.000 UTC,157.979,157.991,157.863,157.917,10302.54
12.07.2024 19:00:00.000 UTC,157.918,157.925,157.796,157.834,4612.75
12.07.2024 20:00:00.000 UTC,157.838,157.943,157.7,157.7,3396.13
14.07.2024 21:00:00.000 UTC,158.068,158.17,158.056,158.145,448.14
14.07.2024 22:00:00.000 UTC,158.145,158.386,157.979,158.339,5611.06
14.07.2024 23:00:00.000 UTC,158.339,158.419,158.169,158.287,9310.17
15.07.2024 00:00:00.000 UTC,158.286,158.365,157.989,158.113,16859.11
15.07.2024 01:00:00.000 UTC,158.111,158.239,157.95,158.05,17316.3
15.07.2024 02:00:00.000 UTC,158.05,158.137,157.912,158.033,11799.58
15.07.2024 03:00:00.000 UTC,158.033,158.033,157.91,157.97,10370.65
15.07.2024 04:00:00.000 UTC,157.97,158.031,157.954,157.992,7291.98
15.07.2024 05:00:00.000 UTC,157.994,157.996,157.831,157.956,10052.45
15.07.2024 06:00:00.000 UTC,157.952,158.236,157.872,158.106,16623.97
15.07.2024 07:00:00.000 UTC,158.105,158.125,157.842,157.929,24058.81
15.07.2024 08:00:00.000 UTC,157.926,157.966,157.781,157.818,21806.27
15.07.2024 09:00:00.000 UTC,157.817,157.98,157.749,157.963,17599.52
15.07.2024 10:00:00.000 UTC,157.963,158.105,157.936,157.952,16888.74
15.07.2024 11:00:00.000 UTC,157.953,158.173,157.897,158.114,13021.73
15.07.2024 12:00:00.000 UTC,158.114,158.162,157.937,157.961,21333.29
15.07.2024 13:00:00.000 UTC,157.96,158.067,157.872,157.939,17286.88
15.07.2024 14:00:00.000 UTC,157.939,157.95,157.835,157.86,21673.94
15.07.2024 15:00:00.000 UTC,157.86,157.92,157.81,157.89,14273.05
15.07.2024 16:00:00.000 UTC,157.891,157.96,157.163,157.712,18415.87
15.07.2024 17:00:00.000 UTC,157.713,158.02,157.711,157.919,18491.11
15.07.2024 18:00:00.000 UTC,157.918,157.937,157.842,157.852,11707.48
15.07.2024 19:00:00.000 UTC,157.853,157.982,157.835,157.919,6060.06
15.07.2024 20:00:00.000 UTC,157.923,158.148,157.881,158.012,3383.28
15.07.2024 21:00:00.000 UTC,157.989,158.101,157.952,158.061,692.31
15.07.2024 22:00:00.000 UTC,158.063,158.155,158.053,158.122,3027.2
15.07.2024 23:00:00.000 UTC,158.122,158.251,158.062,158.15,5452.63
16.07.2024 00:00:00.000 UTC,158.15,158.393,158.104,158.365,15063.83
16.07.2024 01:00:00.000 UTC,158.362,158.632,158.353,158.527,14045.4
16.07.2024 02:00:00.000 UTC,158.528,158.725,158.511,158.693,9888.35
16.07.2024 03:00:00.000 UTC,158.693,158.708,158.589,158.632,8771.4
16.07.2024 04:00:00.000 UTC,158.633,158.725,158.613,158.636,6370.24
16.07.2024 05:00:00.000 UTC,158.637,158.787,158.637,158.727,11779.04
16.07.2024 06:00:00.000 UTC,158.726,158.745,158.465,158.571,14356.17
16.07.2024 07:00:00.000 UTC,158.572,158.574,158.355,158.495,21870.99
16.07.2024 08:00:00.000 UTC,158.496,158.59,158.445,158.468,18571.13
16.07.2024 09:00:00.000 UTC,158.471,158.496,158.334,158.409,15051.28
16.07.2024 10:00:00.000 UTC,158.409,158.449,158.346,158.432,8287.42
16.07.2024 11:00:00.000 UTC,158.431,158.457,158.32,158.343,10843.05
16.07.2024 12:00:00.000 UTC,158.343,158.854,158.252,158.755,29482.96
16.07.2024 13:00:00.000 UTC,158.753,158.804,158.529,158.635,25159.75
16.07.2024 14:00:00.000 UTC,158.634,158.742,158.58,158.588,18627.69
16.07.2024 15:00:00.000 UTC,158.589,158.649,158.536,158.573,16394.58
16.07.2024 16:00:00.000 UTC,158.572,158.631,158.514,158.543,8917.5
16.07.2024 17:00:00.000 UTC,158.542,158.555,158.43,158.47,11748.24
16.07.2024 18:00:00.000 UTC,158.472,158.474,158.335,158.352,7335.97
16.07.2024 19:00:00.000 UTC,158.351,158.432,158.32,158.387,6811.96
16.07.2024 20:00:00.000 UTC,158.386,158.407,158.294,158.318,3395.97
16.07.2024 21:00:00.000 UTC,158.307,158.34,158.259,158.312,1659.51
16.07.2024 22:00:00.000 UTC,158.31,158.387,158.298,158.334,4395.9
16.07.2024 23:00:00.000 UTC,158.335,158.371,158.297,158.36,6252.69
17.07.2024 00:00:00.000 UTC,158.361,158.535,158.306,158.487,14977.9
17.07.2024 01:00:00.000 UTC,158.486,158.624,158.43,158.471,11275.77
17.07.2024 02:00:00.000 UTC,158.471,158.475,158.358,158.415,6741.29
17.07.2024 03:00:00.000 UTC,158.415,158.45,158.322,158.376,5137.96
17.07.2024 04:00:00.000 UTC,158.376,158.386,158.218,158.218,10713.73
17.07.2024 05:00:00.000 UTC,158.217,158.232,157.868,157.893,17466.1
17.07.2024 06:00:00.000 UTC,157.891,158.09,157.702,157.815,27650.82
17.07.2024 07:00:00.000 UTC,157.815,157.831,157.009,157.072,42217.19
17.07.2024 08:00:00.000 UTC,157.07,157.097,156.099,156.242,39707.42
17.07.2024 09:00:00.000 UTC,156.241,156.593,156.102,156.415,33782.85
17.07.2024 10:00:00.000 UTC,156.412,156.734,156.226,156.734,27642.12
17.07.2024 11:00:00.000 UTC,156.736,156.794,156.355,156.509,24696.64
17.07.2024 12:00:00.000 UTC,156.51,156.741,156.461,156.56,26911.87
17.07.2024 13:00:00.000 UTC,156.56,156.623,156.149,156.278,38404.49
17.07.2024 14:00:00.000 UTC,156.28,156.633,156.255,156.498,33179.96
17.07.2024 15:00:00.000 UTC,156.497,156.636,156.484,156.565,21255.07
17.07.2024 16:00:00.000 UTC,156.566,156.594,156.195,156.299,22790.84
17.07.2024 17:00:00.000 UTC,156.299,156.474,156.187,156.462,15668.52
17.07.2024 18:00:00.000 UTC,156.462,156.488,156.088,156.101,18093.14
17.07.2024 19:00:00.000 UTC,156.098,156.233,156.059,156.185,11141.61
17.07.2024 20:00:00.000 UTC,156.184,156.344,156.144,156.177,2880.44
17.07.2024 21:00:00.000 UTC,156.169,156.195,156.122,156.147,1423.8
17.07.2024 22:00:00.000 UTC,156.146,156.271,155.993,156.159,12386.77
17.07.2024 23:00:00.000 UTC,156.155,156.204,155.37,155.675,30862.59
18.07.2024 00:00:00.000 UTC,155.675,155.833,155.457,155.737,27299.4
18.07.2024 01:00:00.000 UTC,155.738,156.299,155.719,156.256,21862.59
18.07.2024 02:00:00.000 UTC,156.255,156.441,156.19,156.312,19402.3
18.07.2024 03:00:00.000 UTC,156.312,156.572,156.294,156.435,11618.1
18.07.2024 04:00:00.000 UTC,156.434,156.536,156.177,156.341,16071.84
18.07.2024 05:00:00.000 UTC,156.341,156.45,155.796,156.032,18425.47
18.07.2024 06:00:00.000 UTC,156.03,156.409,155.989,156.12,26990.48
18.07.2024 07:00:00.000 UTC,156.126,156.255,155.915,156.248,35245.08
18.07.2024 08:00:00.000 UTC,156.246,156.586,156.172,156.464,28957.65
18.07.2024 09:00:00.000 UTC,156.464,156.501,156.303,156.485,27064.28
18.07.2024 10:00:00.000 UTC,156.486,156.496,156.318,156.393,23073.39
18.07.2024 11:00:00.000 UTC,156.395,156.524,156.381,156.494,14242.37
18.07.2024 12:00:00.000 UTC,156.493,156.578,156.181,156.431,29108.79
18.07.2024 13:00:00.000 UTC,156.428,156.691,156.319,156.586,34161.95
18.07.2024 14:00:00.000 UTC,156.588,156.774,156.501,156.756,26206.2
18.07.2024 15:00:00.000 UTC,156.755,156.982,156.695,156.976,20924.06
18.07.2024 16:00:00.000 UTC,156.972,157.156,156.873,157.145,15986.08
18.07.2024 17:00:00.000 UTC,157.145,157.224,157.092,157.187,16305.77
18.07.2024 18:00:00.000 UTC,157.188,157.326,157.15,157.284,13672.92
18.07.2024 19:00:00.000 UTC,157.281,157.397,157.279,157.363,9145.2
18.07.2024 20:00:00.000 UTC,157.366,157.397,157.341,157.359,2262.51
18.07.2024 21:00:00.000 UTC,157.356,157.357,157.323,157.341,512.04
18.07.2024 22:00:00.000 UTC,157.341,157.341,157.248,157.263,6332.98
18.07.2024 23:00:00.000 UTC,157.263,157.282,157.112,157.176,7429.09
19.07.2024 00:00:00.000 UTC,157.176,157.416,157.062,157.209,21797.41
19.07.2024 01:00:00.000 UTC,157.211,157.529,157.198,157.457,13563.15
19.07.2024 02:00:00.000 UTC,157.456,157.52,157.343,157.422,15235.31
19.07.2024 03:00:00.000 UTC,157.422,157.446,157.326,157.374,7258
19.07.2024 04:00:00.000 UTC,157.375,157.481,157.359,157.477,7141.73
19.07.2024 05:00:00.000 UTC,157.476,157.862,157.471,157.769,16015.77
19.07.2024 06:00:00.000 UTC,157.768,157.823,157.132,157.262,19141.61
19.07.2024 07:00:00.000 UTC,157.258,157.554,156.952,157.32,41175.36
19.07.2024 08:00:00.000 UTC,157.318,157.423,157.16,157.26,24474.67
19.07.2024 09:00:00.000 UTC,157.259,157.437,157.145,157.362,10172.68
19.07.2024 10:00:00.000 UTC,157.363,157.574,157.362,157.456,8963.97
19.07.2024 11:00:00.000 UTC,157.455,157.536,157.327,157.467,13583.18
19.07.2024 12:00:00.000 UTC,157.468,157.695,157.423,157.675,21338.5
