<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20260109,0200,4468.72,4476.30,4465.43,4469.31,1716950
XAUUSD,20260109,0300,4469.27,4469.77,4460.22,4463.90,1566800
XAUUSD,20260109,0400,4463.88,4466.78,4460.56,4464.47,876210
XAUUSD,20260109,0500,4464.44,4471.53,4457.98,4467.85,1368810
XAUUSD,20260109,0600,4468.34,4477.13,4465.81,4473.81,1860480
XAUUSD,20260109,0700,4473.88,4475.23,4468.30,4469.94,1093510
XAUUSD,20260109,0800,4470.02,4476.69,4463.90,4468.35,1623320
XAUUSD,20260109,0900,4468.30,4477.44,4468.24,4470.81,1251430
XAUUSD,20260109,1000,4470.78,4473.94,4466.80,4472.25,1291150
XAUUSD,20260109,1100,4472.25,4475.90,4468.39,4475.05,1121690
XAUUSD,20260109,1200,4474.99,4480.34,4460.70,4465.69,1655230
XAUUSD,20260109,1300,4465.77,4491.60,4458.60,4482.18,3791690
XAUUSD,20260109,1400,4482.18,4497.90,4478.98,4494.10,4465390
XAUUSD,20260109,1500,4494.07,4516.90,4489.82,4511.99,4778220
XAUUSD,20260109,1600,4511.99,4513.91,4499.50,4506.31,4704160
XAUUSD,20260109,1700,4506.31,4511.45,4481.61,4484.20,3273040
XAUUSD,20260109,1800,4484.10,4504.31,4482.65,4495.76,5424870
XAUUSD,20260109,1900,4495.76,4501.50,4492.43,4498.93,4012050
XAUUSD,20260109,2000,4498.86,4509.81,4497.40,4507.27,5253690
XAUUSD,20260109,2100,4507.27,4511.00,4504.75,4509.02,782840
XAUUSD,20260111,2300,4520.30,4544.73,4511.90,4539.85,1944800
XAUUSD,20260112,0000,4539.77,4601.05,4536.06,4588.55,2904780
XAUUSD,20260112,0100,4588.55,4594.50,4569.76,4569.76,4637190
XAUUSD,20260112,0200,4569.73,4581.74,4561.35,4577.35,3579040
XAUUSD,20260112,0300,4577.23,4581.26,4567.44,4570.28,1711650
XAUUSD,20260112,0400,4570.31,4571.99,4563.12,4568.36,1394640
XAUUSD,20260112,0500,4568.41,4584.69,4565.84,4580.57,1839700
XAUUSD,20260112,0600,4580.61,4580.61,4569.45,4578.40,2122400
XAUUSD,20260112,0700,4578.41,4589.47,4574.59,4587.48,1660200
XAUUSD,20260112,0800,4587.45,4598.31,4579.23,4596.69,1722660
XAUUSD,20260112,0900,4596.73,4599.24,4587.41,4588.94,2514070
XAUUSD,20260112,1000,4588.97,4595.15,4585.84,4594.06,1159160
XAUUSD,20260112,1100,4594.07,4594.73,4581.41,4584.99,1339950
XAUUSD,20260112,1200,4585.02,4590.57,4578.15,4590.31,1744710
XAUUSD,20260112,1300,4590.28,4620.19,4588.35,4615.56,3374800
XAUUSD,20260112,1400,4615.59,4617.06,4584.61,4601.78,5272190
XAUUSD,20260112,1500,4601.77,4627.27,4601.55,4621.14,3830650
XAUUSD,20260112,1600,4620.77,4629.98,4607.51,4616.63,2671080
XAUUSD,20260112,1700,4616.68,4620.45,4610.56,4616.15,3147840
XAUUSD,20260112,1800,4616.19,4618.44,4600.22,4610.65,2047100
XAUUSD,20260112,1900,4610.69,4618.69,4608.53,4610.98,1905140
XAUUSD,20260112,2000,4611.02,4611.63,4591.40,4593.56,4304360
XAUUSD,20260112,2100,4593.53,4598.81,4589.19,4598.55,915740
XAUUSD,20260112,2300,4599.50,4607.10,4577.34,4599.10,1570640
XAUUSD,20260113,0000,4599.20,4599.36,4584.15,4587.05,1102030
XAUUSD,20260113,0100,4587.06,4595.56,4575.27,4577.65,3247630
XAUUSD,20260113,0200,4577.63,4594.81,4576.45,4594.02,2005660
XAUUSD,20260113,0300,4593.86,4599.45,4592.32,4593.95,1412830
XAUUSD,20260113,0400,4593.93,4599.64,4593.73,4596.15,1106640
XAUUSD,20260113,0500,4596.10,4601.94,4585.40,4591.93,1607920
XAUUSD,20260113,0600,4591.81,4592.19,4573.32,4581.56,2028930
XAUUSD,20260113,0700,4581.60,4586.94,4577.22,4580.44,1159090
XAUUSD,20260113,0800,4580.49,4596.85,4579.51,4592.56,1398130
XAUUSD,20260113,0900,4592.59,4595.52,4585.37,4585.70,1643370
XAUUSD,20260113,1000,4585.95,4588.11,4580.06,4586.15,1280160
XAUUSD,20260113,1100,4586.10,4591.91,4581.90,4588.36,1043640
XAUUSD,20260113,1200,4588.44,4595.03,4577.61,4593.05,1145910
