time,open,high,low,close,volume
09.09.2024 18:00:00.000 UTC,142.814,142.895,142.761,142.807,16687.95
09.09.2024 19:00:00.000 UTC,142.807,142.961,142.779,142.955,13085.04
09.09.2024 20:00:00.000 UTC,142.953,143.21,142.948,143.153,6998.15
09.09.2024 21:00:00.000 UTC,143.147,143.147,143.078,143.124,383.67
09.09.2024 22:00:00.000 UTC,143.122,143.137,142.852,143.039,4923.59
09.09.2024 23:00:00.000 UTC,143.039,143.295,143.039,143.181,8848.26
10.09.2024 00:00:00.000 UTC,143.18,143.487,143.113,143.465,31182.07
10.09.2024 01:00:00.000 UTC,143.466,143.543,143.353,143.422,18295.65
10.09.2024 02:00:00.000 UTC,143.417,143.431,143.189,143.401,14802.71
10.09.2024 03:00:00.000 UTC,143.4,143.426,143.173,143.235,15925.83
10.09.2024 04:00:00.000 UTC,143.237,143.28,143.052,143.08,9202.38
10.09.2024 05:00:00.000 UTC,143.08,143.186,143.031,143.155,12379.2
10.09.2024 06:00:00.000 UTC,143.154,143.453,143.092,143.399,24068.39
10.09.2024 07:00:00.000 UTC,143.397,143.614,143.337,143.602,35003.84
10.09.2024 08:00:00.000 UTC,143.61,143.708,143.439,143.51,32812.4
10.09.2024 09:00:00.000 UTC,143.512,143.519,143.153,143.161,22817.41
10.09.2024 10:00:00.000 UTC,143.163,143.212,142.948,143.039,24021.63
10.09.2024 11:00:00.000 UTC,143.04,143.188,142.994,143.126,23945.75
10.09.2024 12:00:00.000 UTC,143.124,143.189,142.753,142.861,16285.02
10.09.2024 13:00:00.000 UTC,142.863,143.11,142.827,143.005,19354.38
10.09.2024 14:00:00.000 UTC,143.007,143.047,142.53,142.717,32993.74
10.09.2024 15:00:00.000 UTC,142.716,142.73,142.258,142.287,30366.03
10.09.2024 16:00:00.000 UTC,142.286,142.473,142.192,142.461,22355.31
10.09.2024 17:00:00.000 UTC,142.461,142.568,142.325,142.393,19783.01
10.09.2024 18:00:00.000 UTC,142.394,142.46,142.224,142.346,21437.48
10.09.2024 19:00:00.000 UTC,142.347,142.388,142.29,142.308,16041.93
10.09.2024 20:00:00.000 UTC,142.308,142.489,142.299,142.422,11210.23
10.09.2024 21:00:00.000 UTC,142.401,142.416,142.277,142.414,322.65
10.09.2024 22:00:00.000 UTC,142.413,142.472,142.336,142.447,2182.97
10.09.2024 23:00:00.000 UTC,142.445,142.467,142.209,142.229,6402.48
11.09.2024 00:00:00.000 UTC,142.231,142.293,142.019,142.286,25235.17
11.09.2024 01:00:00.000 UTC,142.288,142.425,141.498,141.828,33057.98
11.09.2024 02:00:00.000 UTC,141.829,141.9,141.558,141.832,25108.79
11.09.2024 03:00:00.000 UTC,141.83,141.959,141.255,141.396,18328.47
11.09.2024 04:00:00.000 UTC,141.396,141.397,140.889,141.09,27365.73
11.09.2024 05:00:00.000 UTC,141.088,141.293,140.707,141.282,32139.1
11.09.2024 06:00:00.000 UTC,141.287,141.451,141.146,141.374,31953.62
11.09.2024 07:00:00.000 UTC,141.375,141.543,141.167,141.387,47901.02
11.09.2024 08:00:00.000 UTC,141.386,141.696,141.331,141.533,34404.53
11.09.2024 09:00:00.000 UTC,141.534,141.577,141.289,141.568,29624.7
11.09.2024 10:00:00.000 UTC,141.569,141.694,141.487,141.575,23650.36
11.09.2024 11:00:00.000 UTC,141.579,141.822,141.504,141.689,26880.03
11.09.2024 12:00:00.000 UTC,141.69,142.546,141.689,142.291,49354.52
11.09.2024 13:00:00.000 UTC,142.296,142.495,141.78,141.814,48241.96
11.09.2024 14:00:00.000 UTC,141.814,141.95,141.247,141.424,56100.69
11.09.2024 15:00:00.000 UTC,141.426,141.82,141.379,141.726,45221.35
11.09.2024 16:00:00.000 UTC,141.726,142.035,141.724,141.947,32794.37
11.09.2024 17:00:00.000 UTC,141.95,142.324,141.899,142.203,27053.73
11.09.2024 18:00:00.000 UTC,142.204,142.25,142.094,142.201,16631.4
11.09.2024 19:00:00.000 UTC,142.204,142.411,142.193,142.373,19350.81
11.09.2024 20:00:00.000 UTC,142.373,142.456,142.341,142.341,24682.89
11.09.2024 21:00:00.000 UTC,142.337,142.34,142.258,142.276,770.52
11.09.2024 22:00:00.000 UTC,142.277,142.47,142.225,142.457,3150.61
11.09.2024 23:00:00.000 UTC,142.454,142.674,142.441,142.635,7007.6
12.09.2024 00:00:00.000 UTC,142.637,142.949,142.61,142.683,25093.39
12.09.2024 01:00:00.000 UTC,142.685,142.706,142.256,142.541,29216.58
12.09.2024 02:00:00.000 UTC,142.539,142.633,142.347,142.527,19003.09
12.09.2024 03:00:00.000 UTC,142.524,142.607,142.35,142.59,16857.13
12.09.2024 04:00:00.000 UTC,142.591,142.843,142.578,142.787,17976.92
12.09.2024 05:00:00.000 UTC,142.786,142.911,142.614,142.832,25982.38
12.09.2024 06:00:00.000 UTC,142.831,142.839,142.465,142.575,28619.9
12.09.2024 07:00:00.000 UTC,142.577,143.044,142.551,142.766,41593.29
12.09.2024 08:00:00.000 UTC,142.764,142.764,142.534,142.582,44795.57
12.09.2024 09:00:00.000 UTC,142.583,142.709,142.517,142.675,28898.18
12.09.2024 10:00:00.000 UTC,142.676,142.776,142.586,142.618,29390.9
